,Name,OPG
385,Yoan Lopez,3.0
386,Michael Lorenzen,3.0
387,Aaron Loup,2.0
388,Richard Lovelady,2.0
389,Josh Lucas,5.0
391,Joey Lucchesi,17.0
392,Elvis Luciano,4.0
393,Seth Lugo,4.0
394,Jordan Lyles,14.0
395,Lance Lynn,19.0
396,Tyler Lyons,4.0
397,Kenta Maeda,15.0
398,Matt Magill,3.0
399,Tyler Mahle,16.0
400,Luke Maile,3.0
401,Dillon Maples,2.0
402,Nick Margevicius,13.0
403,Parker Markel,3.0
404,German Marquez,19.0
405,Evan Marshall,3.0
406,Brett Martin,4.0
407,Chris Martin,3.0
408,Corbin Martin,11.0
409,Russell Martin,3.0
410,Carlos Martinez,3.0
411,Nick Martini,3.0
412,Jeff Mathis,3.0
413,Phil Maton,3.0
414,Steven Matz,14.0
415,Trevor May,3.0
417,Mike Mayers,3.0
418,Tim Mayza,2.0
419,Chris Mazza,6.0
420,Kevin McCarthy,3.0
421,T.J. McFarland,4.0
422,Jake McGee,3.0
423,Kyle McGowin,8.0
424,Collin McHugh,8.0
425,Brendan McKay,14.0
426,David McKay,3.0
427,Alex McRae,8.0
428,John Means,14.0
429,Adalberto Mejia,3.0
430,Mark Melancon,3.0
431,Conner Menez,15.0
432,Daniel Mengden,15.0
433,Miles Mikolas,17.0
434,Wade Miley,17.0
435,Andrew Miller,2.0
436,Justin Miller,3.0
437,Shelby Miller,7.0
438,Alec Mills,15.0
439,Tommy Milone,15.0
440,Juan Minaya,4.0
441,Mike Minor,19.0
443,A.J. Minter,2.0
444,Frankie Montas,18.0
445,Rafael Montero,5.0
446,Mike Montgomery,5.0
447,Andrew Moore,13.0
448,Dylan Moore,3.0
449,Matt Moore,15.0
450,Kendrys Morales,3.0
451,Adrian Morejon,5.0
452,Adam Morgan,2.0
453,Mike Morin,3.0
454,Reyes Moronta,3.0
455,Charlie Morton,18.0
456,Andres Munoz,4.0
457,John Ryan Murphy,4.0
458,Tom Murphy,3.0
459,Harrison Musgrave,3.0
460,Joe Musgrove,16.0
461,Jimmy Nelson,10.0
462,Hector Neris,3.0
463,Pat Neshek,3.0
464,Dovydas Neverauskas,3.0
465,Jake Newberry,4.0
466,Sean Newcomb,4.0
467,Juan Nicasio,3.0
469,Stephen Nogosek,3.0
470,Aaron Nola,17.0
471,Daniel Norris,15.0
472,James Norwood,3.0
473,Ivan Nova,17.0
474,Eduardo Nunez,3.0
475,Ryan O'Rourke,2.0
476,Scott Oberg,3.0
477,Jake Odorizzi,15.0
478,Seunghwan Oh,3.0
479,Tyler Olson,2.0
480,Luis Ortiz,9.0
481,Josh Osich,4.0
482,Jose Osuna,6.0
483,Roberto Osuna,3.0
484,Corey Oswalt,9.0
485,Dan Otero,3.0
486,Adam Ottavino,3.0
487,Chris Owings,4.0
488,Chris Paddack,17.0
489,Emilio Pagan,3.0
490,Joe Palumbo,9.0
491,Thomas Pannone,5.0
492,Blake Parker,3.0
493,Wes Parsons,3.0
495,James Paxton,15.0
496,Pedro Payano,9.0
497,Brad Peacock,15.0
498,Felix Pena,13.0
499,Freddy Peralta,9.0
500,Wandy Peralta,3.0
501,Wily Peralta,3.0
502,Luis Perdomo,5.0
503,Cionel Perez,8.0
504,Hernan Perez,3.0
505,Martin Perez,16.0
506,Oliver Perez,2.0
507,Dillon Peters,9.0
508,Tim Peterson,4.0
509,Yusmeiro Petit,3.0
510,Jake Petricka,4.0
511,David Phelps,3.0
512,Evan Phillips,3.0
513,Michael Pineda,17.0
514,Nick Pivetta,15.0
515,Kevin Plawecki,3.0
516,Zach Plesac,17.0
517,Adam Plutko,16.0
518,Colin Poche,3.0
519,Drew Pomeranz,11.0
521,Daniel Ponce de Leon,12.0
522,Sean Poppen,9.0
523,Rick Porcello,17.0
524,Brooks Pounders,3.0
525,Bobby Poyner,4.0
526,Ryan Pressly,3.0
527,David Price,15.0
528,Austin Pruitt,9.0
529,Cal Quantrill,12.0
530,Jose Quijada,3.0
531,Roman Quinn,3.0
532,Jose Quintana,17.0
533,Tanner Rainey,3.0
534,Erasmo Ramirez,9.0
535,Neil Ramirez,3.0
536,Nick Ramirez,6.0
537,Noe Ramirez,4.0
538,Yefry Ramirez,8.0
539,Edubray Ramos,2.0
540,Matt Ramsey,3.0
541,Robbie Ray,17.0
542,Cody Reed,6.0
543,Sean Reid-Foley,9.0
544,Zac Reininger,3.0
545,Alex Reyes,2.0
547,Gerardo Reyes,3.0
548,Mark Reynolds,3.0
549,Jacob Rhame,4.0
550,Clayton Richard,14.0
551,Trevor Richards,16.0
552,Yacksel Rios,2.0
553,Tanner Roark,16.0
554,Daniel Robertson,3.0
555,David Robertson,3.0
556,Hansel Robles,3.0
557,Brady Rodgers,5.0
558,Fernando Rodney,3.0
559,Carlos Rodon,15.0
560,Dereck Rodriguez,10.0
561,Eduardo Rodriguez,17.0
562,Jefry Rodriguez,16.0
563,Jose Rodriguez,4.0
564,Richard Rodriguez,3.0
565,Sean Rodriguez,3.0
566,Chaz Roe,2.0
567,Josh Rogers,8.0
568,Taylor Rogers,4.0
569,Jordan Romano,4.0
570,Sal Romano,9.0
571,Fernando Romero,3.0
573,Austin Romine,3.0
574,Sergio Romo,3.0
575,Hector Rondon,3.0
576,Jose Rondon,3.0
577,Randy Rosario,2.0
578,Trevor Rosenthal,2.0
579,Joe Ross,4.0
580,Tyson Ross,15.0
581,Zac Rosscup,2.0
582,Jose Ruiz,3.0
583,Nick Rumbelow,1.0
584,Chris Rusin,2.0
585,Kyle Ryan,2.0
586,Hyun-Jin Ryu,19.0
587,CC Sabathia,16.0
588,Casey Sadler,5.0
589,Connor Sadzeck,3.0
590,Fernando Salas,2.0
591,Chris Sale,18.0
592,Jeff Samardzija,17.0
593,Adrian Sampson,14.0
594,Aaron Sanchez,15.0
595,Anibal Sanchez,16.0
596,Pablo Sandoval,3.0
597,Dennis Santana,5.0
599,Ervin Santana,13.0
600,Hector Santiago,3.0
601,Josh Sborz,3.0
602,Max Scherzer,20.0
603,Brian Schlitter,5.0
604,Jaime Schultz,3.0
605,Tanner Scott,3.0
606,Tayler Scott,4.0
607,Antonio Senzatela,16.0
608,Paul Sewald,5.0
609,Justin Shafer,4.0
610,Bryan Shaw,3.0
611,Mike Shawaryn,5.0
612,Justus Sheffield,9.0
613,Jimmie Sherfy,6.0
614,Matt Shoemaker,17.0
615,Chasen Shreve,2.0
616,JB Shuck,3.0
617,Lucas Sims,11.0
618,Tony Sipp,2.0
619,Tyler Skaggs,16.0
620,Devin Smeltzer,16.0
621,Burch Smith,5.0
622,Caleb Smith,17.0
623,Joe Smith,2.0
